pairnum,sex,zygosity,moed,faed,faminc,Eng_Dif,Math_Dif,SocSci_Dif,NatSci_Dif,Vocab_Dif
35,2,1,1,2,1,5,1,5,2,3
37,2,1,1,1,1,1,2,1,2,3
39,1,2,2,2,2,4,4,4,7,2
42,1,1,2,2,1,1,12,3,0,0
55,1,1,2,2,2,5,5,1,2,1
72,2,1,2,2,3,8,5,1,0,3
90,2,1,2,2,1,2,6,3,5,4
102,2,2,2,3,3,4,5,3,1,2
118,2,1,3,2,2,1,8,7,3,1
134,1,1,2,2,2,4,6,0,13,1
148,1,2,2,2,2,2,2,2,10,4
149,2,2,3,3,3,1,1,4,2,0
153,1,1,2,2,2,7,5,9,3,3
183,2,1,1,1,1,2,1,1,1,2
185,2,1,2,2,2,0,3,3,0,0
215,1,1,2,1,2,2,12,2,1,1
224,2,1,4,4,3,0,1,2,7,1
226,1,1,2,2,1,3,0,1,4,0
234,2,1,3,4,2,1,4,5,1,2
238,2,1,3,2,2,0,0,7,1,6
244,2,1,1,1,2,3,5,2,0,3
269,2,1,2,2,2,4,1,2,2,3
271,2,2,2,1,1,4,6,4,3,2
291,2,1,1,2,2,2,1,1,2,0
295,2,2,2,1,2,14,20,14,10,10
323,1,1,2,3,2,2,2,4,1,1
327,2,2,2,1,2,4,1,8,1,5
329,1,1,2,2,1,3,0,3,15,4
351,2,1,2,3,2,1,2,5,6,2
358,2,1,2,2,2,1,0,1,2,5
388,1,1,2,2,2,3,5,3,5,0
402,2,1,2,2,2,3,3,3,3,2
408,2,1,2,2,2,10,8,1,4,3
417,1,2,2,1,1,0,0,5,1,0
421,2,2,1,2,1,1,8,3,1,1
442,2,2,2,2,2,1,7,5,3,1
444,1,1,2,2,2,2,4,3,2,3
452,2,2,2,2,2,4,5,5,6,7
456,2,2,2,2,1,4,4,2,0,3
461,2,2,2,1,1,0,4,4,12,2
480,2,2,2,2,2,11,10,9,8,7
485,2,1,2,2,2,0,3,1,3,5
508,2,1,1,3,2,0,2,4,0,1
535,2,1,3,2,1,7,4,3,2,2
540,1,1,3,2,2,2,2,4,7,4
575,1,2,3,3,3,1,7,5,9,2
579,1,2,2,2,3,7,3,6,1,1
598,2,1,1,2,3,4,10,5,5,0
610,2,2,2,2,2,10,6,10,8,4
659,2,2,4,2,2,8,15,12,2,7
666,2,1,2,2,2,3,0,2,2,3
672,2,2,2,2,1,5,0,1,9,0
674,1,1,3,4,3,3,0,2,1,0
758,1,1,2,2,2,5,5,1,0,1
764,2,2,1,1,1,2,6,3,5,0
771,1,1,1,1,1,5,1,5,11,4
828,2,1,3,3,3,2,6,1,1,3
837,2,1,1,1,2,3,1,4,1,1
840,2,1,3,4,3,2,1,6,4,0
841,2,2,2,1,2,7,7,2,2,2
847,1,2,1,1,1,4,3,2,4,5
848,1,2,1,1,1,5,7,1,2,2
877,2,2,2,2,2,2,3,7,5,2
881,2,2,2,2,2,2,11,3,8,1
883,2,1,3,4,2,5,1,2,1,6
914,1,2,2,1,2,1,2,5,3,1
921,1,2,2,2,2,1,8,3,1,3
931,2,1,2,2,3,0,1,2,2,3
944,1,1,2,3,2,4,3,8,0,2
971,2,1,3,3,2,9,2,2,1,2
974,2,1,3,1,1,2,3,8,0,3
983,2,2,3,2,2,1,12,1,0,0
992,1,2,2,3,2,2,2,3,1,3
1007,1,1,1,1,1,2,1,2,1,5
1048,1,1,2,2,1,2,4,0,1,0
1059,1,1,1,2,1,4,1,3,3,2
1079,2,1,2,2,2,3,1,1,6,1
1089,2,1,2,1,1,2,4,0,10,2
1091,1,1,2,2,2,4,2,1,7,2
1097,1,2,2,2,1,5,1,11,1,4
1103,2,1,2,1,1,3,8,3,1,1
1110,1,2,2,2,2,0,2,5,5,5
1119,2,1,1,2,3,1,0,6,1,3
1124,1,1,2,2,1,4,9,8,4,4
1130,1,2,2,4,3,6,11,7,6,9
1136,2,1,2,2,3,2,2,7,9,2
1172,1,2,1,1,2,3,2,3,6,2
1175,2,2,3,4,1,2,3,2,6,3
1253,2,1,2,3,2,2,4,3,7,3
1263,2,1,1,2,2,3,1,1,1,1
1272,2,1,2,2,1,2,2,4,2,4
1278,2,1,2,1,2,10,1,2,3,0
1281,2,2,3,4,3,1,3,0,0,0
1302,2,1,2,2,2,1,3,1,1,1
1332,1,2,4,4,3,12,14,9,18,7
1339,1,2,1,1,1,0,2,5,2,0
1345,2,2,3,2,1,4,6,3,3,1
1351,2,1,3,3,2,1,2,8,0,2
1354,1,2,1,1,2,6,7,8,2,1
1375,2,1,2,2,1,2,0,1,0,0
1379,2,1,2,2,2,5,6,1,5,2
1430,2,1,1,2,1,3,2,1,5,0
1432,2,1,2,2,1,2,5,7,9,2
1439,2,1,2,4,3,3,6,3,0,4
1466,2,1,2,2,2,3,0,0,1,4
1507,1,2,3,3,2,4,7,6,5,4
