ID,reg1,turnout16a,hopeful,afraid,fttrump1,ftbiden1,ftharris1,ftpence1,ftrepublicanparty,ftdemocraticparty,vote20jb
587,1,1,3,2,0,90,50,0,0,95,2
712,1,1,5,3,70,50,50,80,80,50,1
1980,1,1,4,3,75,25,25,50,75,10,1
2146,3,2,3,3,65,20,0,25,0,0,1
323,1,1,3,3,45,65,40,50,50,50,2
656,1,1,4,3,5,100,80,5,50,90,2
2416,1,1,3,2,100,0,0,100,100,0,1
1857,3,2,2,2,0,50,50,50,30,60,3
171,2,2,3,2,0,50,75,40,45,70,4
2802,1,1,2,5,0,40,40,0,0,40,2
2622,1,1,3,3,0,100,50,10,0,85,2
1890,1,1,4,2,90,10,10,85,70,10,1
2159,3,3,2,3,0,30,60,1,50,60,2
1781,1,1,2,3,54,60,30,40,40,24,2
1897,1,1,3,3,1,50,55,50,35,45,3
1096,1,1,4,3,45,90,75,55,78,85,2
2436,3,2,4,1,84,43,38,70,70,30,1
2482,1,1,2,1,0,90,80,0,2,50,2
1253,1,2,2,1,50,6,0,50,50,50,2
2840,1,1,2,1,0,95,97,0,0,90,2
1728,1,1,1,4,15,90,92,45,30,80,2
1595,1,2,2,2,80,10,10,90,60,10,1
284,3,2,4,2,60,50,10,50,0,0,4
1815,1,1,2,2,9,2,1,99,90,70,1
1070,1,3,4,4,100,50,10,0,0,100,1
696,1,1,4,3,85,5,5,85,85,5,1
880,1,1,2,3,0,85,75,10,10,95,2
853,1,1,3,5,0,80,60,0,0,20,2
1545,1,1,3,4,0,100,75,0,0,100,2
177,1,1,1,5,0,70,60,0,0,60,3
2288,1,1,1,5,70,0,0,30,50,0,4
905,1,1,4,3,15,100,65,75,50,50,2
1591,1,2,4,3,40,15,0,0,15,15,1
55,1,1,3,5,35,15,57,50,39,40,1
2857,1,1,2,3,0,70,90,0,0,65,2
1123,1,1,3,2,70,0,0,70,40,40,1
1052,3,2,5,5,0,0,0,0,0,0,4
2442,1,1,4,2,100,0,0,75,100,0,1
812,1,1,2,1,85,50,50,50,80,40,4
1854,1,1,2,1,0,90,80,20,15,80,2
2187,1,1,3,5,0,25,8,5,20,10,2
1773,1,1,3,3,50,40,35,70,50,45,2
748,1,1,5,2,75,15,30,50,65,20,1
2489,1,1,3,5,70,40,20,85,80,30,1
1851,1,1,2,1,70,15,5,100,65,25,1
2878,1,1,2,2,0,90,50,20,25,95,2
2773,1,1,3,2,90,70,55,90,80,60,1
739,1,1,3,1,75,40,20,90,60,35,1
590,1,1,2,4,85,20,10,85,95,5,1
168,1,1,1,3,10,90,80,25,30,85,2
137,1,1,5,4,100,0,0,100,90,10,1
2119,1,1,3,3,89,45,78,78,98,78,1
2109,1,1,5,4,75,65,85,85,45,65,1
1603,1,2,2,3,0,40,40,5,10,55,3
493,1,1,1,2,30,10,10,50,40,20,3
2736,3,2,4,1,70,20,0,20,50,5,1
2304,3,2,3,3,86,0,5,95,66,0,1
2776,1,2,3,3,70,0,5,50,50,10,1
1975,1,2,2,4,0,50,40,2,50,50,2
1113,1,1,3,4,20,80,60,30,40,60,2
688,1,1,2,3,99,5,3,98,98,0,1
985,1,1,2,4,100,0,0,90,90,10,1
3059,3,2,2,4,0,30,50,0,20,70,2
784,1,1,2,5,60,30,30,30,10,25,1
224,1,1,3,5,30,100,50,50,39,49,2
2861,1,1,2,3,10,70,50,5,10,65,2
2468,1,1,4,1,100,0,0,95,85,0,1
992,1,1,4,1,100,10,5,90,90,10,1
2241,1,1,2,3,15,15,15,0,0,15,3
833,1,1,3,3,85,15,15,85,90,20,1
2393,1,1,2,2,0,60,50,50,30,50,2
388,1,1,5,1,99,0,0,99,90,0,1
1950,1,1,4,1,15,50,50,50,50,50,2
2682,3,2,2,3,100,0,0,70,100,0,1
2107,3,1,3,2,1,80,0,0,0,50,2
289,1,1,2,3,2,55,35,40,25,45,2
2234,2,1,3,5,0,6,4,1,100,100,3
558,1,1,1,1,75,15,45,65,85,5,1
301,1,1,4,4,80,70,70,50,80,50,1
796,1,1,3,2,95,10,5,99,95,5,1
1907,1,1,3,5,30,30,30,40,100,60,1
1504,1,1,3,4,50,40,60,30,30,50,2
1141,1,1,2,5,0,95,0,50,10,70,2
2613,4,3,1,1,0,0,0,0,50,100,4
2242,2,1,3,3,50,45,30,67,20,20,4
1213,1,1,3,3,0,90,60,5,20,90,2
3072,1,1,1,1,0,75,17,1,0,1,2
2719,3,2,2,2,30,40,40,50,30,100,2
1702,1,2,3,4,5,25,7,50,20,25,4
832,1,1,2,4,5,95,88,9,49,95,2
808,1,1,2,4,1,95,65,1,2,95,2
672,1,1,3,1,85,15,5,85,80,30,1
1863,1,1,5,1,100,0,0,100,100,0,1
459,1,1,2,3,60,30,20,50,30,30,1
3022,1,1,3,4,15,50,50,50,30,70,2
948,1,1,1,5,0,8,9,3,0,7,2
955,1,1,3,5,15,95,85,90,50,100,2
2045,3,2,3,3,75,50,0,70,70,40,1
303,1,1,5,4,50,50,50,50,50,50,1
1390,1,1,4,4,10,80,85,20,35,85,2
3029,1,1,1,3,15,95,75,20,10,80,2
